Name in English,Number of speakers,Degree of endangerment,Latitude,Longitude
Liangmai,34000,Vulnerable,25.2794,93.6694
Zeme,34000,Vulnerable,25.5027,93.5595
Highland Mazatec,33859,Vulnerable,18.1307,-96.8436
Thangmi,33500,Definitely endangered,27.6969,86.0057
Nocte,33000,Vulnerable,27.1618,95.7952
Mayo,32869,Critically endangered,26.9114,-109.6271
Lauje,32000,Vulnerable,-0.4531,119.9816
Danuwar,31849,Severely endangered,26.9661,86.3223
Sirmaudi,31144,Critically endangered,30.9823,77.1569
Abaza,31000,Definitely endangered,44.1556,41.9368
Koch,31000,Definitely endangered,25.7603,90.3955
Amis,30000,Vulnerable,23.4456,121.4483
Biak,30000,Vulnerable,-0.3076,131.2207
Bumthang,30000,Vulnerable,27.492,90.7159
Burgenland Croatian,30000,Definitely endangered,47.8435,16.5179
Dzhidi,30000,Definitely endangered,33.5139,48.0102
Judeo-Berber (Israel),30000,Severely endangered,31.6767,34.5684
Kham,30000,Definitely endangered,28.4321,82.9635
Ladin,30000,Definitely endangered,46.5531,11.8597
Lepcha,30000,Definitely endangered,27.1153,88.4687
Maonan,30000,Vulnerable,24.8341,107.577
"Mok (Myanmar, Thailand)",30000,Definitely endangered,21.7333,99.7666
Moro,30000,Definitely endangered,10.8872,30.1904
Mulam,30000,Vulnerable,24.6341,108.2895
North Saami,30000,Definitely endangered,68.9099,22.9394
Quechua of Cajamarca,30000,Severely endangered,-7.1772,-78.673
Quichua (Pastaza),30000,Definitely endangered,-1.7575,-76.8603
Rushani,30000,Definitely endangered,37.8705,71.5979
Tagin,30000,Vulnerable,28.038,94.2022
Tialo,30000,Vulnerable,0.4888,120.8935
Tidikelt,30000,Critically endangered,26.8828,2.5488
Toba,30000,Definitely endangered,-25.958,-59.0625
Tundra Nenets,30000,Definitely endangered,67.5001,67.7856
Vojvodina Rusyn,30000,Definitely endangered,45.6351,19.1903
Wuse,30000,Vulnerable,24.878,109.1053
Agul,29399,Definitely endangered,41.7518,47.6875
Rutul,29383,Definitely endangered,41.5332,47.3181
Bateri,29000,Definitely endangered,34.9073,72.8675
Mzieme,29000,Vulnerable,25.6019,93.8891
Ghale,28989,Vulnerable,28.2501,84.718
Sierra Popoluca,28700,Vulnerable,18.245,-94.76
Kurux (Nepal),28615,Vulnerable,26.6032,87.2259
Deori,28000,Definitely endangered,27.1911,94.1528
Soyaltepec Mazatec,27524,Vulnerable,18.2499,-96.3995
Western Mazahua,27037,Definitely endangered,19.4372,-100.3552
Sibe,27000,Severely endangered,43.6599,81.3427
Isthmus Náhuatl,26632,Vulnerable,18.2209,-94.8382
Sunwar,26611,Vulnerable,27.3485,86.2337
Mancagne,26450,Vulnerable,12.7743,-15.6967
Gadaba,26262,Critically endangered,18.3858,82.7819
Banat Bulgarian,25000,Definitely endangered,45.4832,20.9069
Csángó Hungarian,25000,Severely endangered,46.7925,27.1911
Koda,25000,Vulnerable,22.1263,87.0776
Minhe Monguor,25000,Definitely endangered,36.4919,102.6452
Miskito (Honduras),25000,Vulnerable,15.3393,-84.6034
Olonetsian,25000,Definitely endangered,61.1273,32.8765
Saek,25000,Definitely endangered,19.3166,104.7833
Sioux,25000,Vulnerable,43.0588,-102.5244
Tamazight (Beni Iznassen),25000,Definitely endangered,34.7506,-2.1917
Tsakhur,25000,Definitely endangered,41.6523,46.9775
Warao,25000,Definitely endangered,8.6027,-61.3806
Majhi,24664,Severely endangered,27.9208,83.5082
Jone,24000,Definitely endangered,34.5947,103.5653
Andi,23729,Definitely endangered,42.7308,46.2963
Guambiano,23462,Definitely endangered,2.6138,-76.3906
Anal,23000,Vulnerable,24.1517,93.9385
Hawrami,23000,Definitely endangered,35.4259,46.2551
Juang,23000,Definitely endangered,21.0742,85.6164
Tiwa,23000,Definitely endangered,25.7801,92.5927
Embera (Panama),22485,Vulnerable,8.1179,-77.7429
Ediamat,22025,Vulnerable,12.2621,-16.5289
Mara,22000,Definitely endangered,23.5237,92.9003
Maring,22000,Vulnerable,24.6769,94.3835
Polci cluster,22000,Definitely endangered,9.9742,9.3328
Sarikoli,22000,Definitely endangered,37.9463,75.1272
Krongo,21688,Definitely endangered,10.585,29.8883
Ashtiani,21000,Definitely endangered,34.4861,51.0562
Khunsari,21000,Definitely endangered,32.8795,51.6796
Semnani,21000,Definitely endangered,34.8679,53.4924
Plains Cree,20933,Vulnerable,56.3544,-113.8345
Higher Reservoir Mazatec,20665,Vulnerable,18.158,-96.7045
Chilchotla Mazatec,20585,Vulnerable,18.2934,-96.7029
"Zapotec of the Valleys, middle northwest",20448,Definitely endangered,17.05,-96.6333
Aluo,20000,Definitely endangered,25.9368,102.1839
Bangni,20000,Vulnerable,28.0331,93.0651
Bru,20000,Definitely endangered,15.3174,105.4938
Cho-ca-nga-ca-kha,20000,Definitely endangered,27.4107,91.2277
Crimean Tatar (Dobruja),20000,Severely endangered,43.9414,28.3062
Dhimal,20000,Severely endangered,26.6192,87.4635
Griko (Salento),20000,Severely endangered,40.1578,18.2208
Kaiowá Guarani,20000,Vulnerable,-21.5812,-55.0759
Karelian (Karelia),20000,Definitely endangered,63.0474,33.4616
Khoirao,20000,Vulnerable,25.2198,94.1583
Manchad,20000,Vulnerable,32.6578,77.5415
Mariupolitan Greek,20000,Severely endangered,47.1364,37.5444
Padam,20000,Vulnerable,28.2463,95.3668
Pemon (Venezuela),20000,Vulnerable,5.1347,-61.853
Tacenwit,20000,Vulnerable,36.5703,2.2892
Tangwang,20000,Definitely endangered,35.7643,102.8979
Western Neo-Aramaic,20000,Definitely endangered,33.8339,36.5405
Yaghnobi,20000,Definitely endangered,38.5632,68.4475
Yaw,20000,Definitely endangered,21.6,94.8333
Yeyi,20000,Definitely endangered,-19.4562,23.2031
Boro,19878,Definitely endangered,10.3581,35.0024
Sorbian,19500,Definitely endangered,51.5001,14.4744
Biete,19000,Definitely endangered,25.6514,93.2409
Hrangkhol,19000,Vulnerable,24.1467,92.3071
Terena,19000,Severely endangered,-20.2841,-55.4638
Kati,18700,Definitely endangered,35.3845,71.3177
Kulung,18686,Vulnerable,27.518,86.9375
Kaingang,18500,Definitely endangered,-28.1495,-52.4707
Lowland Mazatec,18389,Vulnerable,18.0801,-96.5236
Vafsi,18000,Definitely endangered,34.0867,49.8861
Bassari,17910,Vulnerable,12.4419,-12.6617
Bayot,17150,Vulnerable,12.4218,-16.4149
Pochuri,17000,Vulnerable,25.6712,94.779
Tamahaq (Libya),17000,Definitely endangered,24.9611,10.1733
Swampy Cree,16685,Vulnerable,53.9849,-97.7626
Koraga,16665,Critically endangered,11.6952,75.6738
Oyda,16597,Vulnerable,5.9438,36.6503
Pangvali,16285,Critically endangered,33.4589,76.9152
Shipibo-Conibo,16085,Definitely endangered,-8.4289,-74.6411
Amba,16000,Vulnerable,0.6737,30.198
Tsez,15356,Definitely endangered,42.2376,45.8734
Bonan,15000,Definitely endangered,36.089,102.843
Chrau,15000,Definitely endangered,10.5634,107.1496
Dari,15000,Definitely endangered,31.8402,54.1625
Dzala,15000,Vulnerable,27.7078,91.3623
Ersu,15000,Definitely endangered,28.7778,102.1277
Gangte,15000,Definitely endangered,24.1968,93.587
Gurdu-Mbaaru,15000,Severely endangered,9.7415,10.4534
Ha-lung Tibetan,15000,Definitely endangered,27.6831,87.8256
Hlersu,15000,Vulnerable,24.3789,102.046
Juk,15000,Definitely endangered,15.3333,106.85
Kwama,15000,Vulnerable,9.5465,34.2059
Laemae,15000,Severely endangered,26.4179,98.7758
Lavua,15000,Definitely endangered,18.4483,98.1848
Macushi (Brazil),15000,Vulnerable,3.7765,-61.1279
Nahali,15000,Definitely endangered,21.4735,74.0258
Naluo,15000,Vulnerable,26.5895,100.8506
Nyoe,15000,Definitely endangered,14.9102,104.6049
O'odham (Akimel),15000,Definitely endangered,33.059,-112.0479
O'odham (Tohono),15000,Definitely endangered,31.9186,-111.8798
Paiwan,15000,Vulnerable,22.4313,120.7809
Rao,15000,Definitely endangered,25.871,107.0476
Semai,15000,Severely endangered,4.3039,101.445
Shatt,15000,Severely endangered,10.8117,29.7235
Siwi,15000,Definitely endangered,29.1905,25.5322
Tagargrent,15000,Severely endangered,30.9587,4.0209
Tayurayt,15000,Vulnerable,36.5648,1.9061
Totoli,15000,Vulnerable,0.8953,120.2838
Aruaco,14799,Vulnerable,10.0986,-73.5424
Yakkha,14648,Critically endangered,27.1908,87.3358
Kuruba,14613,Critically endangered,11.4369,76.3549
Tuamotuan,14400,Definitely endangered,-14.9354,-147.7455
Katla,14208,Definitely endangered,11.7329,29.3939
Garífuna (Belize),14061,Vulnerable,17.1833,-88.5833
Thulung,14034,Definitely endangered,27.4534,86.6423
Bawm,14000,Definitely endangered,22.1874,92.6477
Guajajara,14000,Vulnerable,-4.8282,-46.8017
Niuean,14000,Definitely endangered,-19.0491,-169.8706
Uhunduni,14000,Vulnerable,-4.2054,137.031
Gusilay,13950,Vulnerable,12.7019,-16.4382
Xavante,13303,Vulnerable,-14.4832,-53.5305
Dondo,13000,Vulnerable,0.747,120.4266
Khampti,13000,Vulnerable,27.8827,96.5093
Nalu,13000,Definitely endangered,10.9523,-14.7629
Tagoi,13000,Severely endangered,10.8252,30.1657
Karko,12986,Definitely endangered,11.964,29.4186
San Mateo del Mar Huave,12667,Vulnerable,16.2,-94.9833
Q'eqchi' (Belize),12366,Vulnerable,16.8107,-88.3999
Kadaru,12360,Definitely endangered,12.1789,30.2398
Mazatlán Mazatec,12340,Vulnerable,18.033,-96.8999
Badiaranke,12205,Severely endangered,12.4043,-13.5736
Alune,12000,Vulnerable,-3.0637,128.3752
Bangani,12000,Critically endangered,29.8692,79.0686
Chamalal,12000,Definitely endangered,42.5712,46.0739
Chru,12000,Vulnerable,11.4666,109.05
Hill Miri,12000,Definitely endangered,27.7078,94.0374
Jinuo,12000,Definitely endangered,21.4758,101.3111
Muya,12000,Vulnerable,30.2593,101.7497
Samei,12000,Severely endangered,25.0756,103.0133
Tajio,12000,Vulnerable,-0.0954,120.0173
Tobada',12000,Extinct,-2.019,119.4708
Yurt Tatar,12000,Definitely endangered,46.3943,48.3288
Yaqui (Mexico),11806,Vulnerable,27.6436,-110.296
Ch'orti' (Guatemala),11734,Definitely endangered,14.968,-89.2905
Filomeno Mata Totonac,11710,Vulnerable,20.198,-97.7022
Northern Totonac,11529,Critically endangered,20.2741,-97.955
Komo,11500,Definitely endangered,9.0804,34.0905
Tuwuli,11400,Vulnerable,7.0572,0.3845
Poqomam,11273,Definitely endangered,14.6455,-89.7274
Idu,11101,Definitely endangered,28.6496,95.8419
Kari'ña (Venezuela),11000,Severely endangered,8.4941,-64.0942
Machiguenga,11000,Definitely endangered,-11.8888,-72.9052
Piaroa (Venezuela),11000,Vulnerable,4.5435,-66.7089
Tuvaluan,11000,Definitely endangered,-8.5049,179.187
Waunana (Colombia),11000,Vulnerable,4.2806,-77.0581
Noon,10925,Vulnerable,14.8173,-16.5234
Sampang,10810,Vulnerable,27.257,86.9444
